location_name,sex_name,measure_name,age_name,age_midpoint,period,period_midpoint,cohort_midpoint,events,population,rate,window,age_coverage,age_index,period_index,cohort_index,cohort_level,fitted_rate
China,Female,Incidence,45-49 years,47.0,1994-1998,1996.0,1949.0,38031.637060923815,168431811.5245526,22.579842083678994,primary_1994_2023,10-14 to 65-69,7,0,-7,4,22.448533924808647
China,Female,Incidence,45-49 years,47.0,1999-2003,2001.0,1954.0,46949.91656669846,210082765.89968053,22.348295142457406,primary_1994_2023,10-14 to 65-69,7,1,-6,5,22.471557607776308
China,Female,Incidence,45-49 years,47.0,2004-2008,2006.0,1959.0,44896.84791819433,200075259.34456038,22.439979868213015,primary_1994_2023,10-14 to 65-69,7,2,-5,6,22.409846053558333
China,Female,Incidence,45-49 years,47.0,2009-2013,2011.0,1964.0,62124.45172993637,276439806.71277773,22.473048461679753,primary_1994_2023,10-14 to 65-69,7,3,-4,7,22.364947264719508
China,Female,Incidence,45-49 years,47.0,2014-2018,2016.0,1969.0,67412.07038760115,301079131.01164305,22.390150443537134,primary_1994_2023,10-14 to 65-69,7,4,-3,8,22.391648605584763
China,Female,Incidence,45-49 years,47.0,2019-2023,2021.0,1974.0,60601.3481995247,269308542.12932324,22.502571853225376,primary_1994_2023,10-14 to 65-69,7,5,-2,9,22.620567498718692
China,Female,Incidence,50-54 years,52.0,1994-1998,1996.0,1944.0,28893.437870459282,124351803.36164068,23.235238323348803,primary_1994_2023,10-14 to 65-69,8,0,-8,3,23.129781869839093
China,Female,Incidence,50-54 years,52.0,1999-2003,2001.0,1949.0,38095.55959402662,164574392.68913192,23.147926582956398,primary_1994_2023,10-14 to 65-69,8,1,-7,4,23.260632311938682
China,Female,Incidence,50-54 years,52.0,2004-2008,2006.0,1954.0,48479.51264997283,208188328.74385858,23.286373901208883,primary_1994_2023,10-14 to 65-69,8,2,-6,5,23.245310519823306
China,Female,Incidence,50-54 years,52.0,2009-2013,2011.0,1959.0,46333.0077237244,199474996.8079333,23.227476358020272,primary_1994_2023,10-14 to 65-69,8,3,-5,6,23.16257255384862
China,Female,Incidence,50-54 years,52.0,2014-2018,2016.0,1964.0,63409.16243520245,274824207.8675048,23.072626289810895,primary_1994_2023,10-14 to 65-69,8,4,-4,7,23.138360528199378
China,Female,Incidence,50-54 years,52.0,2019-2023,2021.0,1969.0,69505.51214446977,298257808.35771906,23.303836545699923,primary_1994_2023,10-14 to 65-69,8,5,-3,8,23.296810526011132
China,Female,Incidence,55-59 years,57.0,1994-1998,1996.0,1939.0,25896.81650150913,107330251.07036625,24.128161672268003,primary_1994_2023,10-14 to 65-69,9,0,-9,2,24.04102080556985
China,Female,Incidence,55-59 years,57.0,1999-2003,2001.0,1944.0,28084.11159005073,118337484.4279483,23.732219529434225,primary_1994_2023,10-14 to 65-69,9,1,-8,3,23.924646161143606
China,Female,Incidence,55-59 years,57.0,2004-2008,2006.0,1949.0,38462.949936309655,159498061.496709,24.114995239050778,primary_1994_2023,10-14 to 65-69,9,2,-7,4,24.019510091047497
China,Female,Incidence,55-59 years,57.0,2009-2013,2011.0,1954.0,48852.708279198145,203438117.86534983,24.01354711290262,primary_1994_2023,10-14 to 65-69,9,3,-6,5,23.984116489196037
China,Female,Incidence,55-59 years,57.0,2014-2018,2016.0,1959.0,46269.13263094324,195137911.1357144,23.710991043029058,primary_1994_2023,10-14 to 65-69,9,4,-5,6,23.921695127906975
China,Female,Incidence,55-59 years,57.0,2019-2023,2021.0,1964.0,65123.82615670512,269576872.6146301,24.157794222133436,primary_1994_2023,10-14 to 65-69,9,5,-4,7,24.031641377124817
China,Female,Incidence,60-64 years,62.0,1994-1998,1996.0,1934.0,21169.978646342057,98569219.02247716,21.47727135944394,primary_1994_2023,10-14 to 65-69,10,0,-10,1,21.351682646662248
China,Female,Incidence,60-64 years,62.0,1999-2003,2001.0,1939.0,21501.36126923516,101409383.16292754,21.202536292613463,primary_1994_2023,10-14 to 65-69,10,1,-9,2,21.35123131583986
China,Female,Incidence,60-64 years,62.0,2004-2008,2006.0,1944.0,24357.173192755454,114471072.00671199,21.27801615357221,primary_1994_2023,10-14 to 65-69,10,2,-8,3,21.212125468476103
China,Female,Incidence,60-64 years,62.0,2009-2013,2011.0,1949.0,33261.88277990489,155894787.68381175,21.336109612187393,primary_1994_2023,10-14 to 65-69,10,3,-7,4,21.278869593014992
China,Female,Incidence,60-64 years,62.0,2014-2018,2016.0,1954.0,41819.76509249387,198615833.3088985,21.05560488093284,primary_1994_2023,10-14 to 65-69,10,4,-6,5,21.267915119018593
China,Female,Incidence,60-64 years,62.0,2019-2023,2021.0,1959.0,40875.46449988213,190258226.47877735,21.484203472506167,primary_1994_2023,10-14 to 65-69,10,5,-5,6,21.33235669915432
