location_name,sex_name,age_name,measure_name,year,rate,population,population_source,reported_count,reconstructed_count,absolute_error,relative_error_pct
China,Female,55-59 years,Incidence,1996,24.18506280839,21373741.320772663,official_GBD_2023,5169.252762933478,5169.252762931675,-1.8035279936157167e-09,-3.4889530002248137e-11
China,Female,55-59 years,Incidence,1997,24.08095905101,21409108.751390457,official_GBD_2023,5155.518711610569,5155.518711608534,-2.0345396478660405e-09,-3.9463335537588536e-11
China,Female,55-59 years,Incidence,1998,23.94679160745,21614851.116370272,official_GBD_2023,5176.063353098637,5176.063353097768,-8.685674401931465e-10,-1.678046385721266e-11
China,Female,55-59 years,Incidence,1999,23.82150786373,22019778.624288533,official_GBD_2023,5245.443296561592,5245.443296560831,-7.612470653839409e-10,-1.451254016763352e-11
China,Female,55-59 years,Incidence,2000,23.74666826858,22487074.511615835,official_GBD_2023,5339.930987583246,5339.930987581818,-1.4279066817834973e-09,-2.674017108280535e-11
China,Female,55-59 years,Incidence,2001,23.68366729417,23442426.386920266,official_GBD_2023,5552.026271160737,5552.026271158913,-1.824446371756494e-09,-3.28609102812308e-11
China,Female,55-59 years,Incidence,2002,23.64591899865,24694264.28697379,official_GBD_2023,5839.185730611746,5839.1857306103775,-1.368789526168257e-09,-2.3441445251388756e-11
China,Female,55-59 years,Incidence,2003,23.77029430754,25693940.61814988,official_GBD_2023,6107.525304138792,6107.525304138788,-4.547473508864641e-12,-7.44568918246319e-14
China,Female,55-59 years,Incidence,2004,23.9573667262,28156750.70782056,official_GBD_2023,6745.6160252572445,6745.616025254486,-2.7584974304772913e-09,-4.0893187814853364e-11
China,Female,55-59 years,Incidence,2005,24.07529193942,29678727.87579011,official_GBD_2023,7145.240380005152,7145.240380002494,-2.6575435185804963e-09,-3.7193199630025327e-11
China,Female,55-59 years,Incidence,2006,24.12627500598,31700028.626181006,official_GBD_2023,7648.036083326864,7648.036083326813,-5.093170329928398e-11,-6.659448614568892e-13
China,Female,55-59 years,Incidence,2007,24.19824745284,33637946.170937374,official_GBD_2023,8139.793452498358,8139.793452496544,-1.8144419300369918e-09,-2.229100702156125e-11
China,Female,55-59 years,Incidence,2008,24.18268069729,36324608.115979925,official_GBD_2023,8784.263995230205,8784.263995229314,-8.913048077374697e-10,-1.0146607709210949e-11
China,Female,55-59 years,Incidence,2009,24.13149935959,37960209.12196331,official_GBD_2023,9160.367621166844,9160.3676211656,-1.2441887520253658e-09,-1.3582301535043433e-11
China,Female,55-59 years,Incidence,2010,24.10012508275,40474611.58058079,official_GBD_2023,9754.43201767864,9754.432017677187,-1.4533725334331393e-09,-1.489961210246881e-11
China,Female,55-59 years,Incidence,2011,24.07234012724,41738180.09423093,official_GBD_2023,10047.356675207137,10047.35667520325,-3.887180355377495e-09,-3.8688587267629346e-11
China,Female,55-59 years,Incidence,2012,23.96306975128,42107558.03878608,official_GBD_2023,10090.263503395812,10090.263503395017,-7.948983693495393e-10,-7.877875231722358e-12
China,Female,55-59 years,Incidence,2013,23.81163677531,41157559.02978872,official_GBD_2023,9800.28846175994,9800.28846175709,-2.8485374059528112e-09,-2.906585267431271e-11
China,Female,55-59 years,Incidence,2014,23.67314968741,39442292.21427799,official_GBD_2023,9337.23287603464,9337.232876031689,-2.952219801954925e-09,-3.1617716310066814e-11
China,Female,55-59 years,Incidence,2015,23.5952113689,37839899.01571328,official_GBD_2023,8928.404154536418,8928.40415453586,-5.584297468885779e-10,-6.254530341851139e-12
China,Female,55-59 years,Incidence,2016,23.61811185038,37348187.45030793,official_GBD_2023,8820.936686105317,8820.936686103312,-2.004526322707534e-09,-2.272464245055801e-11
China,Female,55-59 years,Incidence,2017,23.73374751859,38591486.06778362,official_GBD_2023,9159.205867000224,9159.2058669996,-6.239133654162288e-10,-6.811871842122593e-12
China,Female,55-59 years,Incidence,2018,23.91292574347,41916046.38763158,official_GBD_2023,10023.353047276514,10023.35304727278,-3.734385245479643e-09,-3.725684636534207e-11
China,Female,55-59 years,Incidence,2019,24.08726635587,46347185.32230164,official_GBD_2023,11163.769977032682,11163.769977031481,-1.2005330063402653e-09,-1.075383144591954e-11
China,Female,55-59 years,Incidence,2020,24.19486982685,50957804.47667685,official_GBD_2023,12329.174459756125,12329.174459752705,-3.41970007866621e-09,-2.7736650899283754e-11
China,Female,55-59 years,Incidence,2021,24.19247246084,55003987.90919528,official_GBD_2023,13306.82462729819,13306.824627295833,-2.35741026699543e-09,-1.771579871999919e-11
China,Female,55-59 years,Incidence,2022,24.15481035352,57935067.44673485,official_GBD_2023,13994.10566994843,13994.105669942706,-5.72435965295881e-09,-4.090550541755274e-11
China,Female,55-59 years,Incidence,2023,24.15180943873,59332827.45972149,official_GBD_2023,14329.951422686783,14329.951422682401,-4.381945473141968e-09,-3.0578927617330184e-11
China,Female,55-59 years,Prevalence,1990,505.77492458276,20700566.22271888,official_GBD_2023,104698.2732011613,104698.2732011607,-5.966285243630409e-10,-5.698551715525555e-13
China,Female,55-59 years,Prevalence,1991,506.87427057121,21193797.354772616,official_GBD_2023,107425.90574834544,107425.9057483441,-1.3387762010097504e-09,-1.2462321743378646e-12
China,Female,55-59 years,Prevalence,1992,507.71434371114,21548684.258013025,official_GBD_2023,109405.76085895734,109405.76085895656,-7.712515071034431e-10,-7.049459745522155e-13
China,Female,55-59 years,Prevalence,1993,508.22344473835,21671278.948601022,official_GBD_2023,110138.52039143804,110138.52039143699,-1.0477378964424133e-09,-9.512910584949737e-13
China,Female,55-59 years,Prevalence,1994,508.420286876,21494746.92362282,official_GBD_2023,109283.6539723544,109283.65397235332,-1.076841726899147e-09,-9.853639476326047e-13
China,Female,55-59 years,Prevalence,1995,508.22734081618006,21437802.95821004,official_GBD_2023,108952.77590392323,108952.77590392326,2.9103830456733704e-11,2.6712334968315127e-14
