location_name,sex_name,measure_name,start_year,end_year,all_age_count_start_reconstructed,all_age_count_end_reconstructed,population_source,age_partition,age_group_count,population_size_change,age_structure_change,age_specific_rate_change,total_change,component_sum,closure_error,population_size_change_pct_of_total,age_structure_change_pct_of_total,age_specific_rate_change_pct_of_total,cumulative_population_size_change,cumulative_age_structure_change,cumulative_age_specific_rate_change,cumulative_total_change,chain_step_years
China,Female,Prevalence,2019,2020,2444345.5119563034,2454441.282289932,official_GBD_2023,fine_5_year,20,9709.64855044141,139.17914206876108,246.94264111986072,10095.770333630033,10095.770333630033,0.0,96.17541039040466,1.3785886313711126,2.446000978224215,397774.8912704989,495991.9720269549,16212.632100425466,909979.4953978793,1
China,Female,Prevalence,2020,2021,2454441.282289932,2461987.508628362,official_GBD_2023,fine_5_year,20,6609.305947202491,1286.0282255837228,-349.10783435683703,7546.2263384293765,7546.2263384293765,0.0,87.58425272171348,17.042004412650424,-4.626257134363904,404384.1972177014,497278.00025253865,15863.524266068629,917525.7217363087,1
China,Female,Prevalence,2021,2022,2461987.508628362,2467357.7415572177,official_GBD_2023,fine_5_year,20,3614.3183120312174,2511.68449961883,-755.7698827947024,5370.232928855345,5370.232928855345,0.0,67.30282205471491,46.77049455570247,-14.07331661041737,407998.5155297326,499789.6847521575,15107.754383273927,922895.954665164,1
China,Female,Prevalence,2022,2023,2467357.7415572177,2469230.2557262643,official_GBD_2023,fine_5_year,20,1319.7000401684395,3782.9076532405643,-3230.093524361883,1872.514169047121,1872.514169047121,0.0,70.4774394759322,202.02291207043834,-172.50035154637052,409318.21556990105,503572.592405398,11877.660858912044,924768.4688342111,1
China,Male,DALYs,1990,1991,1249020.5640909253,1284845.2223174209,official_GBD_2023,fine_5_year,20,18526.732611024596,14799.93332264964,2497.992292821368,35824.65822649561,35824.6582264956,-7.275957614183426e-12,51.71502961421802,41.31214100935578,6.972829376426192,18526.732611024596,14799.93332264964,2497.992292821368,35824.65822649561,1
China,Male,DALYs,1991,1992,1284845.2223174209,1319026.688590583,official_GBD_2023,fine_5_year,20,15368.48632448318,15691.31058121589,3121.6693674634444,34181.466273162514,34181.466273162514,0.0,44.96146011310727,45.905902502303945,9.132637384588778,33895.21893550777,30491.24390386553,5619.661660284813,70006.12449965812,1
China,Male,DALYs,1992,1993,1319026.688590583,1351058.27671169,official_GBD_2023,fine_5_year,20,12573.713381391055,16341.32005855573,3116.5546811600607,32031.588121106848,32031.588121106844,-3.637978807091713e-12,39.25410545943475,51.01626555877135,9.729628981793889,46468.932316898834,46832.56396242126,8736.216341444873,102037.71262076497,1
China,Male,DALYs,1993,1994,1351058.27671169,1378508.182280441,official_GBD_2023,fine_5_year,20,10106.887629744984,16136.488896177652,1206.5290428284013,27449.90556875104,27449.905568751037,-3.637978807091713e-12,36.81938943079884,58.78522552932723,4.39538503987392,56575.81994664382,62969.05285859891,9942.745384273274,129487.61818951601,1
China,Male,DALYs,1994,1995,1378508.182280441,1404256.4876994074,official_GBD_2023,fine_5_year,20,7934.55154459974,15649.888683884792,2163.865190482039,25748.30541896657,25748.30541896657,0.0,30.815820363677354,60.7802666204078,8.403913015914844,64510.37149124355,78618.9415424837,12106.610574755314,155235.92360848258,1
China,Male,DALYs,1995,1996,1404256.4876994074,1426207.9778103698,official_GBD_2023,fine_5_year,20,6123.410515400542,15120.4224723477,707.6571232137115,21951.490110961953,21951.490110961953,0.0,27.8951929206058,68.88107548014241,3.2237315992517868,70633.78200664409,93739.3640148314,12814.267697969026,177187.41371944454,1
China,Male,DALYs,1996,1997,1426207.9778103698,1444210.7411834588,official_GBD_2023,fine_5_year,20,4725.421184015926,15146.873034375603,-1869.5308453018076,18002.76337308972,18002.76337308972,0.0,26.248310251521826,84.13637795749145,-10.384688209013268,75359.20319066002,108886.237049207,10944.736852667218,195190.17709253426,1
China,Male,DALYs,1997,1998,1444210.7411834588,1460299.386706869,official_GBD_2023,fine_5_year,20,3882.348952901938,15512.153917061205,-3305.8573465535496,16088.645523409592,16088.645523409594,1.8189894035458565e-12,24.130986957559433,96.41677973755112,-20.547766695110546,79241.55214356196,124398.39096626821,7638.879506113668,211278.82261594385,1
China,Male,DALYs,1998,1999,1460299.386706869,1479102.995438122,official_GBD_2023,fine_5_year,20,3646.2362933934974,15473.237340441401,-315.86490258182556,18803.608731253073,18803.608731253073,0.0,19.39115169596763,82.28865831867512,-1.6798100146427388,82887.78843695545,139871.6283067096,7323.014603531842,230082.43134719692,1
China,Male,DALYs,1999,2000,1479102.995438122,1498072.0569437763,official_GBD_2023,fine_5_year,20,4077.0572812469914,15134.668986743896,-242.6647623365279,18969.06150565436,18969.06150565436,0.0,21.49319448424841,79.7860715577969,-1.279266042045325,86964.84571820244,155006.2972934535,7080.349841195314,249051.49285285128,1
China,Male,DALYs,2000,2001,1498072.0569437763,1518112.6051374187,official_GBD_2023,fine_5_year,20,5244.447653900677,14364.267671448022,431.83286829323816,20040.54819364194,20040.54819364194,0.0,26.16918261529657,71.67602169687767,2.154795687825752,92209.29337210313,169370.56496490154,7512.182709488553,269092.0410464932,1
China,Male,DALYs,2001,2002,1518112.6051374187,1539684.4136777555,official_GBD_2023,fine_5_year,20,6293.042901673121,13989.21987225604,1289.545766407391,21571.808540336555,21571.808540336555,0.0,29.172532705850447,64.84954586027392,5.977921433875623,98502.33627377625,183359.78483715758,8801.728475895943,290663.8495868298,1
China,Male,DALYs,2002,2003,1539684.4136777555,1561660.23379176,official_GBD_2023,fine_5_year,20,7206.268573876587,14299.754398975989,469.79714115255047,21975.820114005124,21975.820114005124,0.0,32.79180725220832,65.07040158133984,2.13779116645185,105708.60484765284,197659.53923613357,9271.525617048494,312639.6697008349,1
