location_name,sex_name,measure_name,start_year,end_year,all_age_count_start_reconstructed,all_age_count_end_reconstructed,population_source,age_partition,age_group_count,population_size_change,age_structure_change,age_specific_rate_change,total_change,component_sum,closure_error,population_size_change_pct_of_total,age_structure_change_pct_of_total,age_specific_rate_change_pct_of_total,cumulative_population_size_change,cumulative_age_structure_change,cumulative_age_specific_rate_change,cumulative_total_change,chain_step_years
China,Male,Prevalence,2010,2015,2685317.686562669,2835893.9939452857,official_GBD_2023,fine_5_year,20,84267.12939893338,61545.70695412881,4763.471029554959,150576.30738261715,150576.30738261715,0.0,55.96307338365595,40.87343355933151,3.1634930570125435,356835.4161765644,529414.9026519987,23148.01491880506,909398.3337473681,5
China,Male,Prevalence,2015,2020,2835893.9939452857,2913669.047501868,official_GBD_2023,fine_5_year,20,92900.13531534544,-15231.524912198927,106.44315343590766,77775.05355658242,77775.05355658242,0.0,119.44721484217212,-19.58407511878829,0.13686027661616304,449735.55149190984,514183.37773979973,23254.45807224097,987173.3873039505,5
China,Male,Prevalence,2020,2023,2913669.047501868,2925661.008833469,official_GBD_2023,fine_5_year,20,12355.710544461073,11036.890693642586,-11400.639906503802,11991.961331599858,11991.961331599858,0.0,103.03327539843465,92.0357428484982,-95.06901824693287,462091.2620363709,525220.2684334423,11853.818165737166,999165.3486355504,5
United States of America,Female,DALYs,1990,1995,386308.3580932117,403319.62935712136,official_GBD_2023,fine_5_year,20,19661.6722248044,-739.3284606113544,-1911.0725002832864,17011.27126390976,17011.27126390976,0.0,115.5802639307598,-4.3461094067665345,-11.234154523993277,19661.6722248044,-739.3284606113544,-1911.0725002832864,17011.27126390976,5
United States of America,Female,DALYs,1995,2000,403319.62935712136,420223.4959767614,official_GBD_2023,fine_5_year,20,18755.726489766996,-595.5759619312594,-1256.2839081957645,16903.86661963997,16903.86661963997,0.0,110.95524421599148,-3.5233120050727442,-7.4319322109187445,38417.39871457139,-1334.9044225426137,-3167.356408479051,33915.13788354973,5
United States of America,Female,DALYs,2000,2005,420223.4959767614,445083.8698901595,official_GBD_2023,fine_5_year,20,20967.859140658955,187.6635302127106,3704.8512425264057,24860.37391339807,24860.37391339807,0.0,84.342493052201,0.7548701031868735,14.90263684461214,59385.257855230346,-1147.240892329903,537.4948340473547,58775.5117969478,5
United States of America,Female,DALYs,2005,2010,445083.8698901595,462897.5219432732,official_GBD_2023,fine_5_year,20,20309.863839589245,910.325344708816,-3406.5371311842655,17813.652053113794,17813.652053113794,0.0,114.0129142470767,5.110267911344394,-19.12318215842107,79695.1216948196,-236.91554762108717,-2869.0422971369107,76589.1638500616,5
United States of America,Female,DALYs,2010,2015,462897.5219432732,456399.8515765737,official_GBD_2023,fine_5_year,20,17288.80305749637,1240.696861999973,-25027.170286195917,-6497.6703666995745,-6497.670366699573,1.8189894035458565e-12,-266.0769488415591,-19.094487592945903,385.1714364345049,96983.92475231597,1003.7813143788858,-27896.21258333283,70091.49348336202,5
United States of America,Female,DALYs,2015,2020,456399.8515765737,462058.67470096477,official_GBD_2023,fine_5_year,20,12171.30851552645,-238.7631683476987,-6273.722222787667,5658.823124391085,5658.823124391085,0.0,215.08550891199903,-4.219307850753697,-110.86620106124536,109155.23326784241,765.0181460311871,-34169.934806120495,75750.3166077531,5
United States of America,Female,DALYs,2020,2023,462058.67470096477,465493.9030577847,official_GBD_2023,fine_5_year,20,5031.990871095515,-442.6972387721666,-1154.0652755033418,3435.2283568200073,3435.228356820007,-4.547473508864641e-13,146.4819903778866,-12.886981381987999,-33.595008995898624,114187.22413893793,322.3209072590205,-35324.00008162384,79185.54496457311,5
United States of America,Female,Incidence,1990,1995,31876.000537517666,32071.38875631654,official_GBD_2023,fine_5_year,20,1592.7477494996492,-1438.76308260549,41.40355190471928,195.38821879887837,195.3882187988786,2.2737367544323206e-13,815.1708221155003,-736.3612255897943,21.190403474294303,1592.7477494996492,-1438.76308260549,41.40355190471928,195.38821879887837,5
United States of America,Female,Incidence,1995,2000,32071.38875631654,32698.345746148683,official_GBD_2023,fine_5_year,20,1475.2123092020197,-438.8182212600398,-409.4370981098376,626.9569898321424,626.9569898321422,-2.2737367544323206e-13,235.29721067420974,-69.99175834653765,-65.30545232767207,3067.960058701669,-1877.5813038655297,-368.03354620511834,822.3452086310208,5
