location_name,sex_name,measure_name,year,reconstructed_all_age_count,reported_all_age_count,reported_all_age_lower,reported_all_age_upper,absolute_error,relative_error_pct,within_tolerance,tolerance_pct
United States of America,Female,Incidence,2021,35625.498151893466,35625.49815189751,30456.46360919056,41484.34613224223,-4.045432433485985e-09,-1.1355441027764306e-11,True,0.0001
United States of America,Female,Incidence,2022,35677.304965663316,35677.3049656697,30415.60335875648,41551.482935122105,-6.3810148276388645e-09,-1.7885361110596675e-11,True,0.0001
United States of America,Female,Incidence,2023,36070.98539056532,36070.985390571375,30645.386176275875,42094.20188525653,-6.05359673500061e-09,-1.6782454566885673e-11,True,0.0001
United States of America,Female,Prevalence,1990,625835.9820013104,625835.9820013156,518779.0947102598,742574.1695332523,-5.122274160385132e-09,-8.18469104957018e-13,True,0.0001
United States of America,Female,Prevalence,1991,632391.2828289767,632391.2828289827,525083.5926655938,750530.3601009073,-5.9371814131736755e-09,-9.388461818470804e-13,True,0.0001
United States of America,Female,Prevalence,1992,638173.0036682333,638173.0036682378,530816.2358232755,757782.3250803833,-4.540197551250458e-09,-7.114367930252869e-13,True,0.0001
United States of America,Female,Prevalence,1993,643461.3601324925,643461.3601324977,536176.3104128905,764532.8003259057,-5.238689482212067e-09,-8.14142045939378e-13,True,0.0001
United States of America,Female,Prevalence,1994,648893.1491612307,648893.1491612373,541374.4348846932,771299.3339798367,-6.6356733441352844e-09,-1.0226141781143152e-12,True,0.0001
United States of America,Female,Prevalence,1995,654625.890109144,654625.8901091513,546768.2692338753,776588.571782344,-7.2177499532699585e-09,-1.102576305386651e-12,True,0.0001
United States of America,Female,Prevalence,1996,660212.2724505868,660212.2724505927,551456.1254945082,783885.8765003775,-5.9371814131736755e-09,-8.992837093342561e-13,True,0.0001
United States of America,Female,Prevalence,1997,665083.7605682724,665083.7605682787,555318.1923328354,790401.6125857634,-6.28642737865448e-09,-9.452083709400845e-13,True,0.0001
United States of America,Female,Prevalence,1998,669667.5634984006,669667.5634984081,559056.7832591403,796585.0976745348,-7.450580596923828e-09,-1.1125789874010434e-12,True,0.0001
United States of America,Female,Prevalence,1999,674735.7171341178,674735.7171341251,563210.9815356799,802269.6606279446,-7.2177499532699585e-09,-1.069715115115983e-12,True,0.0001
United States of America,Female,Prevalence,2000,680569.642856274,680569.642856278,567979.8497437614,807974.2780250909,-3.958120942115784e-09,-5.815894058253868e-13,True,0.0001
United States of America,Female,Prevalence,2001,688408.8771759957,688408.8771760024,574934.4018174866,817600.3921324145,-6.6356733441352844e-09,-9.639145519674599e-13,True,0.0001
United States of America,Female,Prevalence,2002,696625.8504299587,696625.8504299651,582088.4127576756,827717.5563276907,-6.402842700481415e-09,-9.191221796505987e-13,True,0.0001
United States of America,Female,Prevalence,2003,704571.3630048821,704571.363004886,588510.9691262196,837048.5463068465,-3.841705620288849e-09,-5.452542953072318e-13,True,0.0001
United States of America,Female,Prevalence,2004,712817.1508225384,712817.1508225455,595032.9083790178,846846.7042754759,-7.101334631443024e-09,-9.962350966511589e-13,True,0.0001
