window,location_name,sex_name,age_lower,period_start,events,population
1994_2023,China,Male,55,1994,36818.57761687931,118650888.76750858
1994_2023,China,Male,55,1999,39033.77271304275,126964212.4721485
1994_2023,China,Male,55,2004,51786.14977530073,166710642.5257062
1994_2023,China,Male,55,2009,64383.50807995938,208903514.5433215
1994_2023,China,Male,55,2014,60628.15202163679,200440475.99331692
1994_2023,China,Male,55,2019,82914.1905090031,269120071.2929981
1994_2023,China,Male,60,1994,29552.168572137554,105433105.02274697
1994_2023,China,Male,60,1999,30464.59690403854,109408451.51819524
1994_2023,China,Male,60,2004,33489.52401789397,120027488.32975577
1994_2023,China,Male,60,2009,44175.53938338243,159426484.97419304
1994_2023,China,Male,60,2014,54178.993831967164,199443664.88575363
1994_2023,China,Male,60,2019,52802.19807666768,190824057.69894043
1994_2023,China,Male,65,1994,16084.223767820557,80329617.68851373
1994_2023,China,Male,65,1999,18103.260086169244,90955304.27081525
1994_2023,China,Male,65,2004,19506.92166255186,97370344.50666028
1994_2023,China,Male,65,2009,21627.31312489869,109774809.12810975
1994_2023,China,Male,65,2014,28434.48280484806,146590346.90392286
1994_2023,China,Male,65,2019,36604.5650632891,185002176.06270134
1994_2023,United States of America,Female,10,1994,3445.025762895871,47321721.806490526
1994_2023,United States of America,Female,10,1999,3755.176752435742,51086572.37898521
1994_2023,United States of America,Female,10,2004,3750.707740674729,51512875.07487542
1994_2023,United States of America,Female,10,2009,3600.09219094153,51051716.90629014
1994_2023,United States of America,Female,10,2014,3811.7636565540315,52237986.27262862
1994_2023,United States of America,Female,10,2019,3681.1448007772883,52287920.69982942
1994_2023,United States of America,Female,15,1994,26274.490446812197,46252278.83974978
1994_2023,United States of America,Female,15,1999,28423.900651483546,49589567.23069054
1994_2023,United States of America,Female,15,2004,30373.352076850184,53059455.64430936
1994_2023,United States of America,Female,15,2009,29645.22224143964,53139804.23513766
1994_2023,United States of America,Female,15,2014,26737.412190272822,52282593.308920935
1994_2023,United States of America,Female,15,2019,26739.47878472393,53082712.53438112
1994_2023,United States of America,Female,20,1994,42205.89400875608,45448626.98752966
1994_2023,United States of America,Female,20,1999,44559.40962612496,47950931.846836254
1994_2023,United States of America,Female,20,2004,48057.48470332061,51258957.184505686
1994_2023,United States of America,Female,20,2009,49333.98285773553,54207321.067736335
1994_2023,United States of America,Female,20,2014,45034.96978639249,54281550.48329743
1994_2023,United States of America,Female,20,2019,43586.18637990076,52852227.21010894
1994_2023,United States of America,Female,25,1994,25240.31328999256,49558406.142535545
1994_2023,United States of America,Female,25,1999,23551.0002868735,47021428.04063753
1994_2023,United States of America,Female,25,2004,25538.5795901616,49874434.37761104
1994_2023,United States of America,Female,25,2009,26252.8796308214,52907283.635969795
1994_2023,United States of America,Female,25,2014,26769.680023150664,56039041.798987195
1994_2023,United States of America,Female,25,2019,26523.95983100908,55352062.60238151
1994_2023,United States of America,Female,30,1994,15635.661101205345,54313060.225853786
1994_2023,United States of America,Female,30,1999,14350.877684513285,51067724.02736224
1994_2023,United States of America,Female,30,2004,13857.466894570376,48682299.821212664
1994_2023,United States of America,Female,30,2009,14455.12017949642,51296072.615638174
1994_2023,United States of America,Female,30,2014,15527.871445253651,54461497.788911216
1994_2023,United States of America,Female,30,2019,16290.522930526487,57161770.55687444
1994_2023,United States of America,Female,35,1994,12206.959588563615,56766542.90912418
1994_2023,United States of America,Female,35,1999,11694.380690812397,55408543.49628348
1994_2023,United States of America,Female,35,2004,11042.086390054443,52420761.06587909
1994_2023,United States of America,Female,35,2009,10668.356497996328,49979816.40143545
1994_2023,United States of America,Female,35,2014,11470.81889843109,52501698.84795065
1994_2023,United States of America,Female,35,2019,11886.422002825477,55229074.39329125
1994_2023,United States of America,Female,40,1994,9202.144615265488,52441470.94973715
1994_2023,United States of America,Female,40,1999,9835.361863954882,56888857.71643786
1994_2023,United States of America,Female,40,2004,9531.513351974208,55820964.38586009
1994_2023,United States of America,Female,40,2009,9275.51452334595,52795829.203860946
1994_2023,United States of America,Female,40,2014,9115.918063378875,50322805.42407627
1994_2023,United States of America,Female,40,2019,9307.837641186832,52534161.381450914
1994_2023,United States of America,Female,45,1994,7856.079756752249,46417463.61471845
1994_2023,United States of America,Female,45,1999,8719.872776077797,52300439.2640485
1994_2023,United States of America,Female,45,2004,9417.76697500748,56968462.8290782
1994_2023,United States of America,Female,45,2009,9424.319108688775,55936336.351418026
1994_2023,United States of America,Female,45,2014,9140.26773945491,52801990.076389134
1994_2023,United States of America,Female,45,2019,8583.096138518733,50188779.95550847
1994_2023,United States of America,Female,50,1994,6020.657351637015,36934460.31114155
1994_2023,United States of America,Female,50,1999,7412.758955288153,46155112.248968065
1994_2023,United States of America,Female,50,2004,8351.913032937198,52236184.33440544
1994_2023,United States of America,Female,50,2009,9174.49086686256,56861911.29576404
1994_2023,United States of America,Female,50,2014,9177.772565560068,55588747.16026059
1994_2023,United States of America,Female,50,2019,8608.129393339825,52223996.47176932
1994_2023,United States of America,Female,55,1994,4661.220989393884,29728709.59850332
1994_2023,United States of America,Female,55,1999,5611.082832968239,36321804.745781645
1994_2023,United States of America,Female,55,2004,7038.429752151767,45585743.02092013
1994_2023,United States of America,Female,55,2009,7968.064007789149,51680998.61913614
1994_2023,United States of America,Female,55,2014,8801.379382365056,56007851.79366857
1994_2023,United States of America,Female,55,2019,8654.297993789845,54538582.164631665
1994_2023,United States of America,Female,60,1994,3577.2154184536753,26591714.218212266
1994_2023,United States of America,Female,60,1999,3840.8848016799184,28977380.55174892
1994_2023,United States of America,Female,60,2004,4717.940059375734,35546237.99368376
1994_2023,United States of America,Female,60,2009,5892.533633108904,44696572.70205929
1994_2023,United States of America,Female,60,2014,6755.197876572248,50390165.54049006
1994_2023,United States of America,Female,60,2019,7387.135293605995,54249504.53865738
1994_2023,United States of America,Female,65,1994,2549.790142006553,26514393.20908394
1994_2023,United States of America,Female,65,1999,2403.9615285009822,25368828.597589437
1994_2023,United States of America,Female,65,2004,2643.0084519909747,27847697.024763867
1994_2023,United States of America,Female,65,2009,3235.845610187954,34327629.685739875
1994_2023,United States of America,Female,65,2014,4122.184900094609,43011017.686502054
1994_2023,United States of America,Female,65,2019,4691.086182715862,48190648.54573171
1994_2023,United States of America,Male,10,1994,4561.634491480666,49872933.54013437
1994_2023,United States of America,Male,10,1999,4858.925565904867,53713958.16529686
1994_2023,United States of America,Male,10,2004,4796.531811300589,54170630.7484584
1994_2023,United States of America,Male,10,2009,4946.175775894857,53448303.11743942
1994_2023,United States of America,Male,10,2014,5065.19032307574,54654150.99716476
1994_2023,United States of America,Male,10,2019,4961.024694324808,54893441.85945153
1994_2023,United States of America,Male,15,1994,26979.229051345017,49022888.719093956
1994_2023,United States of America,Male,15,1999,28943.009912241345,52654713.034304515
1994_2023,United States of America,Male,15,2004,31191.141537601638,56113645.25665799
1994_2023,United States of America,Male,15,2009,30622.70775694293,56005123.04650836
1994_2023,United States of America,Male,15,2014,28284.23571028373,54844255.72734927
1994_2023,United States of America,Male,15,2019,28209.78957385669,55553859.17888075
1994_2023,United States of America,Male,20,1994,43875.307235407265,47493085.19655239
1994_2023,United States of America,Male,20,1999,46659.39374594786,50228623.78286144
1994_2023,United States of America,Male,20,2004,50743.42674512856,53813369.9350808
1994_2023,United States of America,Male,20,2009,51371.73970852098,56473757.581828445
1994_2023,United States of America,Male,20,2014,48919.54163997623,56625027.78079313
1994_2023,United States of America,Male,20,2019,47356.34413809716,54934749.26198155
1994_2023,United States of America,Male,25,1994,30973.364844335738,50935015.21446335
1994_2023,United States of America,Male,25,1999,29599.153319032725,48326761.37330586
1994_2023,United States of America,Male,25,2004,31346.424509778783,51226983.62632066
1994_2023,United States of America,Male,25,2009,32347.005505734556,54103552.336647324
1994_2023,United States of America,Male,25,2014,34267.43744970521,57445326.446346305
1994_2023,United States of America,Male,25,2019,34380.21111069667,57093760.670273684
1994_2023,United States of America,Male,30,1994,20471.785734314715,54616439.276124045
1994_2023,United States of America,Male,30,1999,19421.579925318965,51845440.74891769
1994_2023,United States of America,Male,30,2004,18226.10130215554,49250577.30356569
1994_2023,United States of America,Male,30,2009,19260.633470734625,51701501.28440709
1994_2023,United States of America,Male,30,2014,21261.146272948587,55343081.92367988
1994_2023,United States of America,Male,30,2019,22504.893078360717,58481815.92136626
1994_2023,United States of America,Male,35,1994,15711.637587835732,56244448.00883112
1994_2023,United States of America,Male,35,1999,15373.268313539736,55347793.54359788
1994_2023,United States of America,Male,35,2004,14495.12267412208,52574390.82784526
1994_2023,United States of America,Male,35,2009,14374.63432048987,49829135.71167236
1994_2023,United States of America,Male,35,2014,15459.433233306332,52824660.07938396
1994_2023,United States of America,Male,35,2019,16337.980659655479,56407273.21346137
1994_2023,United States of America,Male,40,1994,11544.134966724861,51520416.70334873
1994_2023,United States of America,Male,40,1999,12467.239004754809,56113341.578119315
1994_2023,United States of America,Male,40,2004,12219.544193729438,55250237.958182946
1994_2023,United States of America,Male,40,2009,12428.740877956741,52489673.22306727
1994_2023,United States of America,Male,40,2014,11928.769560481363,50152091.87608911
1994_2023,United States of America,Male,40,2019,12360.565870879263,52990681.13329992
1994_2023,United States of America,Male,45,1994,9414.058081941037,45015490.83154739
1994_2023,United States of America,Male,45,1999,10577.485319478441,50841755.61904954
1994_2023,United States of America,Male,45,2004,11472.295088875533,55552109.65140812
1994_2023,United States of America,Male,45,2009,11960.23782694015,54923259.91949417
1994_2023,United States of America,Male,45,2014,11550.20676753775,52581978.48581663
1994_2023,United States of America,Male,45,2019,10823.90487019279,50182567.833171695
1994_2023,United States of America,Male,50,1994,6857.4043007186165,35305845.72143544
