location_name,sex_name,measure_name,year,val,lower,upper,fitted,joinpoint_years
China,Male,Incidence,2014,22.83151710384,19.19908175876,27.00506113207,22.86809508373989,2006
China,Male,Incidence,2015,22.82725852467,19.17491576865,27.02432733913,22.86112401562975,2006
China,Male,Incidence,2016,22.83387289846,19.17837860252,27.04702173174,22.85415507256721,2006
China,Male,Incidence,2017,22.84124901813,19.18119944671,27.07859708242,22.847188253904477,2006
China,Male,Incidence,2018,22.84843310984,19.18195276123,27.1189850011,22.840223558993948,2006
China,Male,Incidence,2019,22.8553270604,19.2035589968,27.15219775041,22.83326098718823,2006
China,Male,Incidence,2020,22.86161413276,19.24624195875,27.17425548517,22.826300537840112,2006
China,Male,Incidence,2021,22.84494471232,19.26268453991,27.19140279434,22.81934221030259,2006
China,Male,Incidence,2022,22.82157242665,19.2613380022,27.07350385544,22.812386003928857,2006
China,Male,Incidence,2023,22.77420365679,19.21045574529,26.926866401650003,22.8054319180723,2006
China,Male,Prevalence,1990,322.43326719739,269.45275657734,380.64500636323,323.20120563225026,"2003,2017"
China,Male,Prevalence,1991,322.90401216876,270.50075559798,380.81137906767,323.2543186439781,"2003,2017"
China,Male,Prevalence,1992,323.30285773669004,270.76971836363,381.53595169885,323.3074403839903,"2003,2017"
China,Male,Prevalence,1993,323.62710952955,270.93465471927,382.45166175781,323.36057085372113,"2003,2017"
China,Male,Prevalence,1994,323.87652741949,271.44334214756003,383.26086549985,323.41371005460525,"2003,2017"
China,Male,Prevalence,1995,324.04531418682,272.01199406569,383.91979557137,323.46685798807744,"2003,2017"
China,Male,Prevalence,1996,324.04757008521,271.83095908013,383.43129836006,323.5200146555728,"2003,2017"
China,Male,Prevalence,1997,323.87326976675,272.00489729334004,382.83194860093,323.57318005852665,"2003,2017"
China,Male,Prevalence,1998,323.6393190468,272.37013381951004,382.66347076583,323.62635419837443,"2003,2017"
China,Male,Prevalence,1999,323.44749288086,272.74463673036,382.58623116614,323.67953707655204,"2003,2017"
China,Male,Prevalence,2000,323.39484394767004,272.97616433407,382.34171495925,323.73272869449534,"2003,2017"
