location_name,sex_name,measure_name,age_name,age_midpoint,reference_age,reference_period,reference_cohort,fitted_rate,fitted_rate_lower,fitted_rate_upper,age_rr_vs_reference,age_rr_vs_reference_lower,age_rr_vs_reference_upper,age_rr_vs_reference_se
United States of America,Female,Incidence,65-69 years,67.0,40-44 years,2004-2008,1959,15.20255838686445,10.478993890429468,22.0553408010958,0.8303320116730527,0.6003781260908445,1.1483617068099117,0.1654418204090493
China,Female,Prevalence,15-19 years,17.0,40-44 years,2004-2008,1959,166.8468407438466,122.19259626162501,227.81959887814483,0.35926405446863086,0.2761789814572624,0.46734425680113734,0.134188013675872
China,Female,Prevalence,20-24 years,22.0,40-44 years,2004-2008,1959,323.35274153057605,236.97742483382572,441.21078422831806,0.6962614121304923,0.5365606498881452,0.9034951670850397,0.13293141783452778
China,Female,Prevalence,25-29 years,27.0,40-44 years,2004-2008,1959,414.02217834391826,303.6368612499563,564.5373998894473,0.8914959718064447,0.6911460448451209,1.1499234838639876,0.1298723288393259
China,Female,Prevalence,30-34 years,32.0,40-44 years,2004-2008,1959,456.38876503972455,335.13689190920627,621.5093291218864,0.9827221025648925,0.7623356456960403,1.2668209027374087,0.12956093783996683
China,Female,Prevalence,35-39 years,37.0,40-44 years,2004-2008,1959,464.31627351292116,344.45013122848593,625.8949621532228,0.99979206219504,0.7762642117449503,1.287685497417514,0.1291093766678387
China,Female,Prevalence,40-44 years,42.0,40-44 years,2004-2008,1959,464.41284249998586,343.8117406288047,627.3179847914913,0.8510522702631426,0.7004676400053256,1.0340091752340512,0.09934968352547882
China,Female,Prevalence,45-49 years,47.0,40-44 years,2004-2008,1959,457.0362177478272,336.8673675775998,620.0722433737126,0.9841162343563769,0.7597553229403492,1.274732448040794,0.13201406963067935
China,Female,Prevalence,50-54 years,52.0,40-44 years,2004-2008,1959,449.88968152386053,330.8851883430072,611.6947287825557,0.9687279083456312,0.743492410455605,1.2621968256981106,0.13501286639372312
China,Female,Prevalence,55-59 years,57.0,40-44 years,2004-2008,1959,443.51826497589957,324.2085019718309,606.734401383229,0.9550086138625958,0.7269369980209663,1.2546361720956891,0.1392247686897497
China,Female,Prevalence,60-64 years,62.0,40-44 years,2004-2008,1959,436.88213378606025,317.309140679842,601.5143415425295,0.9407193208402146,0.7097654696492638,1.2468243080906443,0.14372970741270827
China,Female,Prevalence,65-69 years,67.0,40-44 years,2004-2008,1959,419.81828861117685,299.6219743758957,588.2325414200204,0.9039764842661293,0.6768324557789667,1.2073497320184894,0.1476426454977093
United States of America,Female,Prevalence,15-19 years,17.0,40-44 years,2004-2008,1959,262.65308230634565,192.8388547676938,357.74243592210587,0.3697313166383996,0.28306853738742016,0.4829263180035763,0.13626914321308486
