location_name,sex_name,measure_name,cohort_label,cohort_midpoint,reference_cohort,cohort_rr,cohort_rr_lower,cohort_rr_upper
China,Female,Prevalence,1929,1929.0,1959,0.91770255826792,0.6501591549957904,1.2953412698725102
China,Female,Prevalence,1930,1929.5,1959,0.9184511733974458,0.6502157082322807,1.2973426314299337
China,Female,Prevalence,1934,1934.5,1959,0.9417712488965339,0.6764680124024354,1.3111234662792817
China,Female,Prevalence,1934,1934.5,1959,0.9417712488965293,0.676468012402432,1.3111234662792752
China,Female,Prevalence,1939,1939.0,1959,0.951361401719196,0.6882978921800524,1.3149662769043473
China,Female,Prevalence,1940,1939.5,1959,0.9213290407120656,0.6534727649735087,1.2989786977485231
China,Female,Prevalence,1944,1944.5,1959,0.9583134367957112,0.6973355173738367,1.3169623807514723
China,Female,Prevalence,1944,1944.5,1959,0.9583134367957113,0.6973355173738366,1.3169623807514725
China,Female,Prevalence,1949,1949.0,1959,0.9915411576850004,0.7387330760958682,1.3308648268183447
China,Female,Prevalence,1950,1949.5,1959,0.9260651003978878,0.6597498334996368,1.299881449951775
China,Female,Prevalence,1954,1954.5,1959,0.9712163443177471,0.7177191113639851,1.3142483912366683
China,Female,Prevalence,1954,1954.5,1959,0.9712163443177404,0.7177191113639803,1.3142483912366592
China,Female,Prevalence,1959,1959.0,1959,0.9034227638860804,0.7334255497128521,1.1128228224761318
China,Female,Prevalence,1960,1959.5,1959,0.9193479412985255,0.6556519683011466,1.2890995193072143
China,Female,Prevalence,1964,1964.5,1959,0.9587094807407123,0.7109041961361441,1.2928941388413275
China,Female,Prevalence,1964,1964.5,1959,0.9587094807407115,0.7109041961361435,1.2928941388413264
China,Female,Prevalence,1969,1969.0,1959,0.9784618920676389,0.7503521110643581,1.2759178792347907
China,Female,Prevalence,1970,1969.5,1959,0.8768859034926857,0.6283254061078255,1.223774942521152
China,Female,Prevalence,1974,1974.5,1959,0.8945353582456522,0.6622132420245572,1.2083622863011299
China,Female,Prevalence,1974,1974.5,1959,0.8945353582456502,0.6622132420245558,1.2083622863011272
China,Female,Prevalence,1979,1979.0,1959,0.8596850388838156,0.6516065103592891,1.1342096101421062
China,Female,Prevalence,1984,1984.0,1959,0.8342352668328125,0.6296251817599996,1.1053377478998216
China,Female,Prevalence,1989,1989.0,1959,0.7979277154160056,0.5980018013670625,1.0646935135872557
China,Female,Prevalence,1994,1994.0,1959,0.7862864631736765,0.578105702483789,1.0694348793203712
China,Female,Prevalence,1999,1999.0,1959,0.7959275589335358,0.5753897939233411,1.100993944905283
China,Female,Prevalence,2004,2004.0,1959,0.8133087152746011,0.5804804258069894,1.1395234652779875
United States of America,Female,Prevalence,1924,1924.5,1959,0.9201492551469127,0.6567478089549167,1.2891929599197787
United States of America,Female,Prevalence,1929,1929.0,1959,0.9205779756289506,0.6587549695592582,1.2864628706787513
United States of America,Female,Prevalence,1930,1929.5,1959,0.9270214730487782,0.6623105284634766,1.2975315574209794
United States of America,Female,Prevalence,1934,1934.5,1959,0.9294948571278827,0.6738577737883181,1.2821113342213708
United States of America,Female,Prevalence,1934,1934.5,1959,0.9294948571278766,0.6738577737883136,1.2821113342213624
United States of America,Female,Prevalence,1939,1939.0,1959,0.9321254602932303,0.6826060831763813,1.2728539858358672
United States of America,Female,Prevalence,1940,1939.5,1959,0.935341938155119,0.6689148906894107,1.307886180213605
United States of America,Female,Prevalence,1944,1944.5,1959,0.9451387930048267,0.6960800291811683,1.2833112581802364
United States of America,Female,Prevalence,1944,1944.5,1959,0.9451387930048247,0.6960800291811667,1.2833112581802335
United States of America,Female,Prevalence,1949,1949.0,1959,0.9606139921906264,0.7265658846239674,1.2700558359824385
United States of America,Female,Prevalence,1950,1949.5,1959,0.9472860275628909,0.6807565982975129,1.3181669046764208
United States of America,Female,Prevalence,1954,1954.5,1959,0.9628876049516694,0.7178511014675051,1.2915666464454558
United States of America,Female,Prevalence,1954,1954.5,1959,0.9628876049516681,0.7178511014675041,1.291566646445454
United States of America,Female,Prevalence,1959,1959.0,1959,0.9239779254753321,0.7567596821482501,1.1281457335863339
United States of America,Female,Prevalence,1960,1959.5,1959,0.9520765895850741,0.6845480079936094,1.3241581625410381
United States of America,Female,Prevalence,1964,1964.5,1959,0.9807636579246375,0.7314475704460488,1.315059877933745
United States of America,Female,Prevalence,1964,1964.5,1959,0.9807636579246353,0.7314475704460472,1.315059877933742
