location_name,sex_name,measure_name,start_year,end_year,interval_label,count_start,count_end,population_growth,population_aging,rate_change,total_change,population_growth_pct_of_total,population_aging_pct_of_total,rate_change_pct_of_total
United States of America,Female,Prevalence,2015,2020,2015-2020,741449.1967054267,757231.0045221467,26693.383168196113,-7772.189328906087,-3139.386022568525,15781.807816721499,169.14021180712476,-49.2477757882156,-19.892436018909137
United States of America,Female,Prevalence,2020,2023,2020-2023,757231.0045221467,766467.9634766134,13782.993403907285,-5956.950399078196,1410.9159496390494,9236.958954468137,149.21570477738373,-64.49038507632079,15.274680298937085
China,Male,DALYs,1990,1995,1990-1995,1244646.2134439577,1399694.350180903,81225.915470477,61893.400807985265,11928.820458482991,155048.13673694525,52.38754697728805,39.91882915239003,7.693623870321921
China,Male,DALYs,1995,2000,1995-2000,1399694.350180903,1492610.5119141333,68436.67180077087,29724.80476924563,-5245.314836788263,92916.16173322825,73.65421744094371,31.99099512374238,-5.645212564686105
China,Male,DALYs,2000,2005,2000-2005,1492610.5119141333,1606185.6418367366,125712.54029697424,-16038.46162011032,3901.051245745388,113575.12992260931,110.68667971820541,-14.12145566642892,3.4347759482235105
China,Male,DALYs,2005,2010,2005-2010,1606185.6418367366,1725593.5600454104,93013.7207548961,27105.661204289565,-711.4637505129988,119407.91820867267,77.89577286855376,22.700053405939762,-0.5958262744935158
China,Male,DALYs,2010,2015,2010-2015,1725593.5600454104,1810970.6759900576,47864.44658174129,41521.26037229128,-4008.5910093825464,85377.11594465002,56.06238399148059,48.63277461750935,-4.695158608989925
China,Male,DALYs,2015,2020,2015-2020,1810970.6759900576,1862247.677274943,30206.66165792077,11213.108896980488,9857.230729982568,51277.00128488382,58.908791272912296,21.86771577121467,19.223492955873034
China,Male,DALYs,2020,2023,2020-2023,1862247.677274943,1863678.7738647286,24735.602685190155,-15494.922056319889,-7809.584039088455,1431.0965897818096,1728.4369805507984,-1082.7306952553288,-545.7062852954693
United States of America,Male,DALYs,1990,1995,1990-1995,385181.7982555,408463.9814898225,21733.148039501742,1584.4235824843927,-35.38838766378467,23282.18323432235,93.34669270819484,6.805305011725241,-0.1519977199200781
United States of America,Male,DALYs,1995,2000,1995-2000,408463.9814898225,429714.0092277234,24567.850051712787,-3205.9125858325374,-111.90972797969395,21250.027737900557,115.61326109657125,-15.08662776997049,-0.526633326600779
United States of America,Male,DALYs,2000,2005,2000-2005,429714.0092277234,453670.5497947073,28478.473895097304,-5383.116784816249,861.1834567040885,23956.540566985146,118.87556893061556,-22.470342784946165,3.5947738543306116
United States of America,Male,DALYs,2005,2010,2005-2010,453670.5497947073,473017.49547685904,26459.857267680458,-6107.6349134768825,-1005.2766720509389,19346.94568215264,136.7650362097693,-31.56898775557691,-5.196048454192417
United States of America,Male,DALYs,2010,2015,2010-2015,473017.49547685904,483823.3106485759,24991.47883752755,-4710.634874602509,-9475.028791208946,10805.815171716094,231.27805205239875,-43.59351700677296,-87.68453504562578
United States of America,Male,DALYs,2015,2020,2015-2020,483823.3106485759,492645.72772860096,21053.72218652506,-5990.445194708912,-6240.85991179131,8822.41708002484,238.63893528898757,-67.90027200450658,-70.73866328448098
United States of America,Male,DALYs,2020,2023,2020-2023,492645.72772860096,497975.76444955164,10494.749495616212,-4126.035372475511,-1038.6774021904857,5330.036720950215,196.89825877494619,-77.41101212788531,-19.487246647060907
China,Male,Incidence,1990,1995,1990-1995,149191.68386571287,156716.18896297147,9408.88193097845,-2704.894574844696,820.5177411190573,7524.5050972528115,125.04319964396892,-35.947807063513714,10.904607419544808
China,Male,Incidence,1995,2000,1995-2000,156716.18896297147,157949.68899678084,7449.543954244519,-6128.287405090426,-87.7565153520894,1233.5000338020036,603.9354479207326,-496.8210163887286,-7.114431532003971
China,Male,Incidence,2000,2005,2000-2005,157949.68899678084,167779.91635297224,13218.042644504667,-3900.6095437977447,512.7942554869563,9830.227356193878,134.46324449633588,-39.67974902777838,5.216504531442524
China,Male,Incidence,2005,2010,2005-2010,167779.91635297224,177408.65160757772,9639.79268168105,43.10364863080031,-54.16107570599706,9628.735254605854,100.11483779315573,0.4476563898688762,-0.5624941830246023
China,Male,Incidence,2010,2015,2010-2015,177408.65160757772,176736.98057904438,4795.549372756413,-4365.363745418105,-1101.8566558711805,-671.6710285328736,-713.9729375005645,649.9258654870583,164.04707201350612
China,Male,Incidence,2015,2020,2015-2020,176736.98057904438,173245.96260668137,2878.23962924287,-6930.643627899193,561.3860262901678,-3491.0179723661568,-82.4470011906597,198.52787017311496,-16.080868982455257
China,Male,Incidence,2020,2023,2020-2023,173245.96260668137,171280.30877958256,2287.3660591465837,-3738.827743708335,-514.1921425327213,-1965.653827094473,-116.36667797847443,190.20784291580352,26.158835062670892
United States of America,Male,Incidence,1990,1995,1990-1995,35054.94300939488,35436.32464020406,1931.5853593934016,-1406.3783958772278,-143.82533270498848,381.38163081118546,506.47047559290854,-368.75881853195443,-37.711657060954145
United States of America,Male,Incidence,1995,2000,1995-2000,35436.32464020406,36645.240826598085,2113.3516773477595,-943.0160825602557,38.5805916058295,1208.9161863933332,174.81374648913496,-78.00508365874718,3.191337169612262
United States of America,Male,Incidence,2000,2005,2000-2005,36645.240826598085,38784.96925546288,2431.29948796173,-279.6843508953522,-11.886708203003462,2139.7284288633746,113.62654508699677,-13.07102093530256,-0.5555241516942264
United States of America,Male,Incidence,2005,2010,2005-2010,38784.96925546288,40528.04504036571,2265.0737382541397,-624.0052604765345,102.00730712646207,1743.0757849040674,129.94694538647389,-35.799089510665056,5.852144124191145
United States of America,Male,Incidence,2010,2015,2010-2015,40528.04504036571,41147.55823511842,2133.1753075765155,-922.7567694411337,-590.9053433830632,619.5131947523187,344.3308916817113,-148.94868701062157,-95.38220467108971
United States of America,Male,Incidence,2015,2020,2015-2020,41147.55823511842,41291.99534666697,1777.733999500962,-1292.713745912263,-340.58314204113293,144.43711154756602,1230.8014058530373,-895.0011060602985,-235.80029979273863
United States of America,Male,Incidence,2020,2023,2020-2023,41291.99534666697,41469.60122492642,876.755255494896,-515.0551464163509,-184.0942308191188,177.6058782594264,493.65216066454286,-289.9989299138045,-103.65323075073842
China,Male,Prevalence,1990,1995,1990-1995,1920293.509529894,2153848.0950329867,125155.01701128298,97348.6641361994,11050.90435561922,233554.58550310158,53.5870519269342,41.68133283553391,4.731615237531898
