location_name,sex_name,measure_name,start_year,end_year,interval_label,count_start,count_end,population_growth,population_aging,rate_change,total_change,population_growth_pct_of_total,population_aging_pct_of_total,rate_change_pct_of_total
United States of America,Female,DALYs,2004,2005,2004-2005,439625.21112496057,444192.88853158336,5437.758359189514,-930.2247002832397,60.14374771582273,4567.677406622097,119.04865153800039,-20.365376480716975,1.3167249427165746
United States of America,Female,DALYs,2005,2006,2005-2006,444192.88853158336,448865.9940422558,5294.557889425302,-661.8057196375254,40.35334088541761,4673.105510673195,113.29848806821788,-14.162011067928733,0.8635229997108372
United States of America,Female,DALYs,2006,2007,2006-2007,448865.9940422558,452585.8826136049,5158.640626466833,-850.4176550163828,-588.3344001006626,3719.8885713497875,138.67728905102618,-22.861374439175815,-15.815914611850358
United States of America,Female,DALYs,2007,2008,2007-2008,452585.8826136049,456077.1808379885,5105.978793091432,-880.0189493371581,-734.6616193723457,3491.298224381928,146.24871508922314,-25.20606641940334,-21.04264866981979
United States of America,Female,DALYs,2008,2009,2008-2009,456077.1808379885,459212.6063363635,4464.685031441506,-421.51167993296986,-907.7478531326341,3135.425498375902,142.39486901392294,-13.443524017754715,-28.951344996168217
United States of America,Female,DALYs,2009,2010,2009-2010,459212.6063363635,462076.5506884135,4663.697732046159,-525.5465829563327,-1274.2067970391072,2863.9443520507193,162.84177200254368,-18.350446738953448,-44.49132526359023
United States of America,Female,DALYs,2010,2011,2010-2011,462076.5506884135,463088.3917777724,4481.825850508147,-313.5753129305376,-3156.409448221035,1011.8410893565742,442.9377199297295,-30.990569194016317,-311.9471507357132
United States of America,Female,DALYs,2011,2012,2011-2012,463088.3917777724,460931.3756088132,4245.286518470393,-525.804116261764,-5876.498571166788,-2157.0161689581582,-196.8129205318323,24.376456877267085,272.4364636545652
United States of America,Female,DALYs,2012,2013,2012-2013,460931.3756088132,457713.1599625107,4100.653398914718,-780.4547840418043,-6538.414261176056,-3218.2156463031424,-127.42009391524952,24.25116492545598,203.16892898979353
United States of America,Female,DALYs,2013,2014,2013-2014,457713.1599625107,455319.0690010249,4025.742516802847,-657.8119453054194,-5762.021532981317,-2394.0909614838893,-168.15328162417183,27.476480880981182,240.67680074319065
United States of America,Female,DALYs,2014,2015,2014-2015,455319.0690010249,455515.21668237075,4210.790551453023,-856.0341502661371,-3158.60871984247,196.14768134441692,2146.745004881944,-436.4232829054051,-1610.3217219765395
United States of America,Female,DALYs,2015,2016,2015-2016,455515.21668237075,457476.89642824256,3780.721007975721,-602.6166059936222,-1216.4246561098262,1961.6797458722722,192.72875788879605,-30.71941825680956,-62.009339631986464
United States of America,Female,DALYs,2016,2017,2016-2017,457476.89642824256,459199.0151588584,3708.374197621694,-1263.201750530997,-723.0537164735335,1722.1187306171632,215.3378934733906,-73.35160625529565,-41.98628721809498
United States of America,Female,DALYs,2017,2018,2017-2018,459199.0151588584,460668.7205750656,3188.8587020958075,-1208.5719081937568,-510.58137769612944,1469.7054162059212,216.9726441049609,-82.23225517625929,-34.740388928701584
United States of America,Female,DALYs,2018,2019,2018-2019,460668.7205750656,461741.84355559957,3000.080837520373,-1172.5035040528069,-754.4543529324776,1073.1229805350886,279.5654265109904,-109.26086993945134,-70.30455657153908
United States of America,Female,DALYs,2019,2020,2019-2020,461741.84355559957,461187.4528600073,2683.0226981009764,-1323.9470664191178,-1913.4663272740727,-554.3906955922139,-483.95882532532494,238.81119884323542,345.1476264820896
United States of America,Female,DALYs,2020,2021,2020-2021,461187.4528600073,460858.2924548352,1960.0128083148543,-1114.345124438599,-1174.8280890492802,-329.1604051730246,-595.4582560695795,338.54166750488673,356.9165885646928
United States of America,Female,DALYs,2021,2022,2021-2022,460858.2924548352,462100.68789548683,3165.3900329227617,-1483.0575320257922,-439.9370602441777,1242.3954406527919,254.78120164861284,-119.37081250447517,-35.41038914413768
United States of America,Female,DALYs,2022,2023,2022-2023,462100.68789548683,464662.2413069485,3234.7643312416913,-1386.2685068504943,713.0575870698086,2561.5534114610055,126.281353992799,-54.11827450671127,27.836920513912286
China,Female,Incidence,1990,1991,1990-1991,112468.84108020327,114077.48814329015,1773.108111683551,-249.1694369661394,84.70838837318539,1608.647063090597,110.22356316474945,-15.489378788124297,5.265815623374854
China,Female,Incidence,1991,1992,1991-1992,114077.48814329015,115274.29622624205,1476.06803595183,-359.3067760868871,80.04682308249176,1196.8080829474347,123.33372885622973,-30.022088019493122,6.688359163263398
China,Female,Incidence,1992,1993,1992-1993,115274.29622624205,116209.51567464603,1317.2195519977904,-467.17184220138734,85.17173861291667,935.2194484093197,140.8460393160344,-49.95317868934213,9.107139373307746
China,Female,Incidence,1993,1994,1993-1994,116209.51567464603,116979.45410468099,1246.495198916993,-563.3904356023777,86.8336667185431,769.9384300331585,161.89543868635198,-73.17344006041034,11.278001374058375
China,Female,Incidence,1994,1995,1994-1995,116979.45410468099,117567.90411227965,1199.5606488461708,-682.6486715523862,71.53803030322888,588.4500075970136,203.85090209186677,-116.00792977130564,12.157027679438837
China,Female,Incidence,1995,1996,1995-1996,117567.90411227965,117986.43568831547,1146.6852152871895,-785.6307969966413,57.47715774608756,418.53157603663567,273.9781849068458,-187.71123661357203,13.733051706726272
China,Female,Incidence,1996,1997,1996-1997,117986.43568831547,118353.57194118643,1160.1681130798534,-854.170392226195,61.13853201488382,367.1362528685422,316.00478133530066,-232.65759933875054,16.652818003449866
China,Female,Incidence,1997,1998,1997-1998,118353.57194118643,118877.38392957304,1315.5158047301761,-863.4465254933871,71.74270915000186,523.8119883867912,251.14274470533465,-164.83901564616428,13.69627094082961
China,Female,Incidence,1998,1999,1998-1999,118877.38392957304,119733.6793425962,1574.2439276625664,-796.9285994382298,78.9800848007071,856.2954130250437,183.8435548896868,-93.0670172134768,9.223462323790027
China,Female,Incidence,1999,2000,1999-2000,119733.6793425962,120936.74077156157,1854.5131960065385,-729.6888095248312,78.23704248228509,1203.0614289639925,154.1495015432037,-60.65266427444169,6.50316273123795
China,Female,Incidence,2000,2001,2000-2001,120936.74077156157,122465.01714698719,2119.7935721127506,-675.3671205966602,83.8499239038938,1528.276375419984,138.7048577211836,-44.19142580876861,5.486568087585014
China,Female,Incidence,2001,2002,2001-2002,122465.01714698719,124207.42379632703,2290.9200485970264,-637.8546559303674,89.34125667594829,1742.4066493426071,131.48021728804628,-36.60768031222928,5.127463024183009
China,Female,Incidence,2002,2003,2002-2003,124207.42379632703,126149.41088736085,2400.166091297617,-542.4332539837245,84.25425371704719,1941.98709103094,123.59330823478565,-27.9318671318131,4.338558897027439
China,Female,Incidence,2003,2004,2003-2004,126149.41088736085,128270.79202470629,2429.5302063476,-371.7767610133208,63.627692014316075,2121.381137348595,114.5258701311988,-17.52522234066743,2.999352209468641
