sex_name,measure_name,metric_name,age_name,year,China,United States of America,china_us_pct_difference,china_us_absolute_difference
Male,Incidence,Number,45-49 years,2023,13782.946652737117,2175.434338423366,533.5721749582307,11607.51231431375
Male,Incidence,Number,50-54 years,2023,17421.076405091877,2062.52690703942,744.647230813504,15358.549498052456
Male,Incidence,Number,55-59 years,2023,18118.52011258364,1828.8968166794373,890.6802804479588,16289.623295904203
Male,Incidence,Number,60-64 years,2023,11192.00040489871,1534.1341355820969,629.5320627653023,9657.866269316613
Male,Incidence,Number,65-69 years,2023,7457.284607706076,967.3269816736602,670.9166340841182,6489.957626032416
Male,Incidence,Number,70+ years,2023,4152.059983009724,566.0496759848414,633.5151240543975,3586.010307024883
Male,Prevalence,Number,15-19 years,1990,59612.09667720059,12708.34459595775,369.07837780982044,46903.75208124284
Male,Prevalence,Number,20-24 years,1990,197956.1976997834,50125.93541347314,294.91771289035256,147830.26228631026
Male,Prevalence,Number,25-29 years,1990,261501.331135358,85349.50715848176,206.38880040606168,176151.8239768762
Male,Prevalence,Number,30-34 years,1990,252881.7250114524,97001.82297595404,160.69790984664246,155879.90203549835
Male,Prevalence,Number,35-39 years,1990,275019.2962712784,88993.74899049118,209.03215044987454,186025.54728078723
Male,Prevalence,Number,40-44 years,1990,205987.4056326509,75556.04835163435,172.62861164204227,130431.35728101654
Male,Prevalence,Number,45-49 years,1990,158102.16961291034,54386.55007169708,190.70086152640005,103715.61954121327
Male,Prevalence,Number,50-54 years,1990,145956.95323424405,40386.54072149338,261.3999877849577,105570.41251275067
Male,Prevalence,Number,55-59 years,1990,130882.14268766515,32650.391926551216,300.85933112867826,98231.75076111394
Male,Prevalence,Number,60-64 years,1990,102659.74253584056,28183.279707039183,264.25761516392924,74476.46282880138
Male,Prevalence,Number,65-69 years,1990,69234.5627324381,20924.002028661507,230.88585366031427,48310.5607037766
Male,Prevalence,Number,70+ years,1990,60499.88629907202,20458.9851375922,195.7130370455521,40040.90116147982
Male,Prevalence,Number,15-19 years,1991,56818.14158119273,12363.174086174104,359.5756816587513,44454.96749501862
Male,Prevalence,Number,20-24 years,1991,198909.50782169143,50695.11645885152,292.3642388377653,148214.3913628399
Male,Prevalence,Number,25-29 years,1991,284667.32968333585,83700.44201413686,240.1025404803191,200966.88766919897
Male,Prevalence,Number,30-34 years,1991,247459.2899003497,97963.76132061816,152.60288760295654,149495.52857973153
Male,Prevalence,Number,35-39 years,1991,286744.17090970586,91095.54300554204,214.772997063381,195648.62790416382
Male,Prevalence,Number,40-44 years,1991,217820.3190340964,79511.06186412832,173.94970451572695,138309.2571699681
Male,Prevalence,Number,45-49 years,1991,163688.88147580743,55621.88827555173,194.28860930590864,108066.9932002557
Male,Prevalence,Number,50-54 years,1991,145670.7050474197,41329.57513305386,252.4611723649626,104341.12991436584
Male,Prevalence,Number,55-59 years,1991,133766.93263216945,32539.661764271623,311.0888847008386,101227.27086789784
Male,Prevalence,Number,60-64 years,1991,105799.83633924116,27998.80798042372,277.87264519694753,77801.02835881744
Male,Prevalence,Number,65-69 years,1991,71270.81845410423,20969.97078074145,239.87085246469886,50300.847673362776
Male,Prevalence,Number,70+ years,1991,62704.900039911096,20965.387028634967,199.0877294765292,41739.513011276125
Male,Prevalence,Number,15-19 years,1992,53781.69832279087,12279.73825959198,337.9710478012899,41501.96006319889
Male,Prevalence,Number,20-24 years,1992,197465.24998882707,50799.04367678484,288.71843975100006,146666.20631204222
Male,Prevalence,Number,25-29 years,1992,302937.42503744044,82070.6550813974,269.11783479367637,220866.76995604305
Male,Prevalence,Number,30-34 years,1992,251858.77776547684,98248.42628787427,156.34891802492007,153610.35147760255
Male,Prevalence,Number,35-39 years,1992,291478.62355133775,93301.46573516144,212.40519241006047,198177.1578161763
Male,Prevalence,Number,40-44 years,1992,229050.3461481989,80003.05490479033,186.30199986836266,149047.29124340857
Male,Prevalence,Number,45-49 years,1992,171084.10065092743,60008.281636103,185.10081606469043,111075.81901482443
Male,Prevalence,Number,50-54 years,1992,145724.77877794232,42642.39737386746,241.73683411910335,103082.38140407487
Male,Prevalence,Number,55-59 years,1992,136033.0403681258,32720.767263942023,315.7391520523204,103312.27310418378
Male,Prevalence,Number,60-64 years,1992,108656.64475603098,27608.095131910857,293.5680612402702,81048.54962412012
Male,Prevalence,Number,65-69 years,1992,73283.76825549656,20899.41460436817,250.649860978305,52384.35365112839
Male,Prevalence,Number,70+ years,1992,65028.67774625245,21530.46990562842,202.03092654867177,43498.20784062403
