location_name,sex_name,measure_name,period_label,period_midpoint,reference_period,period_rr,period_rr_lower,period_rr_upper
United States of America,Female,Prevalence,2014-2018,2016.0,2004-2008,0.9768420929720756,0.7791804234548736,1.2246463667183356
United States of America,Female,Prevalence,2019-2023,2021.0,2004-2008,0.981980228667847,0.7827003596898012,1.2319978617062617
China,Male,DALYs,1990-1993,1991.5,2004-2008,0.9720151207907152,0.7647214348214915,1.2355000814987434
China,Male,DALYs,1994-1998,1996.0,2004-2008,0.9761777825236518,0.7791064448955501,1.2230973948887645
China,Male,DALYs,1999-2003,2001.0,2004-2008,0.9876937217531623,0.7905359107899421,1.2340222305850812
China,Male,DALYs,2004-2008,2006.0,2004-2008,1.0113528106726153,0.8459021473386769,1.209164098794849
China,Male,DALYs,2009-2013,2011.0,2004-2008,1.0256388044504947,0.8245136650354244,1.2758247701685388
China,Male,DALYs,2014-2018,2016.0,2004-2008,1.0529515438488593,0.8460249579270409,1.3104896531779486
China,Male,DALYs,2019-2023,2021.0,2004-2008,1.0692807236525146,0.8581541825351854,1.3323494649843601
United States of America,Male,DALYs,1990-1993,1991.5,2004-2008,1.0064701234253128,0.7854264385067753,1.2897224484492904
United States of America,Male,DALYs,1994-1998,1996.0,2004-2008,0.9980774287148196,0.7904055596472933,1.2603131918182695
United States of America,Male,DALYs,1999-2003,2001.0,2004-2008,0.9982080257200069,0.7929968969685195,1.256523532968364
United States of America,Male,DALYs,2004-2008,2006.0,2004-2008,1.000243780763573,0.8324909699546332,1.2017999678852112
United States of America,Male,DALYs,2009-2013,2011.0,2004-2008,1.0021721156623171,0.7996607071497308,1.255968863333218
United States of America,Male,DALYs,2014-2018,2016.0,2004-2008,0.9975995950172026,0.7963286452994743,1.2497414953649206
United States of America,Male,DALYs,2019-2023,2021.0,2004-2008,0.9992088226250673,0.7972370713282233,1.2523480243440952
China,Male,Incidence,1990-1993,1991.5,2004-2008,1.0190677456066795,0.908727924048242,1.1428052804953188
China,Male,Incidence,1994-1998,1996.0,2004-2008,1.0234295923244239,0.9189014627053351,1.1398481479849485
China,Male,Incidence,1999-2003,2001.0,2004-2008,1.0100958022406366,0.9081589762831963,1.1234745857822046
China,Male,Incidence,2004-2008,2006.0,2004-2008,0.9996240181616995,0.9178465197046598,1.0886876577222027
China,Male,Incidence,2009-2013,2011.0,2004-2008,0.9941499488046897,0.8956966129934086,1.1034250954744207
China,Male,Incidence,2014-2018,2016.0,2004-2008,0.9803054845011329,0.8830010903305417,1.0883325665920316
China,Male,Incidence,2019-2023,2021.0,2004-2008,0.9714486692338472,0.8745410611960297,1.0790945775211327
United States of America,Male,Incidence,1990-1993,1991.5,2004-2008,1.045512339491494,0.7992457464035128,1.3676595176736903
United States of America,Male,Incidence,1994-1998,1996.0,2004-2008,1.0579215614808049,0.8217056434374288,1.3620425260365256
United States of America,Male,Incidence,1999-2003,2001.0,2004-2008,1.0322965946082574,0.804535902574789,1.3245353698068738
United States of America,Male,Incidence,2004-2008,2006.0,2004-2008,1.0002009310245976,0.8198468408219651,1.2202302340025912
United States of America,Male,Incidence,2009-2013,2011.0,2004-2008,0.9829272140201281,0.7697227931768416,1.255186823913374
United States of America,Male,Incidence,2014-2018,2016.0,2004-2008,0.956682448677437,0.7494933409627466,1.2211466834806057
United States of America,Male,Incidence,2019-2023,2021.0,2004-2008,0.9326839198934905,0.730318970449968,1.1911224131175453
China,Male,Prevalence,1990-1993,1991.5,2004-2008,0.9704058969787713,0.7581216721466126,1.2421325487567136
China,Male,Prevalence,1994-1998,1996.0,2004-2008,0.9731298635089041,0.7715716097732503,1.2273413371587862
China,Male,Prevalence,1999-2003,2001.0,2004-2008,0.9860658804391934,0.784113255472771,1.240032500126618
China,Male,Prevalence,2004-2008,2006.0,2004-2008,1.0128559647568214,0.8427475256741471,1.2173007621978262
China,Male,Prevalence,2009-2013,2011.0,2004-2008,1.0294050498785499,0.8222784666600691,1.2887054686226274
China,Male,Prevalence,2014-2018,2016.0,2004-2008,1.060120138590932,0.8463546809084463,1.327876756160611
China,Male,Prevalence,2019-2023,2021.0,2004-2008,1.0761239371954545,0.8581115640840662,1.3495246733344302
United States of America,Male,Prevalence,1990-1993,1991.5,2004-2008,1.0045524919870088,0.7830145868778388,1.2887700000341717
United States of America,Male,Prevalence,1994-1998,1996.0,2004-2008,0.9944029141009115,0.7866305234097568,1.2570541393259644
United States of America,Male,Prevalence,1999-2003,2001.0,2004-2008,0.9959379386271902,0.7903360470564846,1.255026113627444
United States of America,Male,Prevalence,2004-2008,2006.0,2004-2008,1.0016914428977741,0.8329750659166119,1.2045807705786387
United States of America,Male,Prevalence,2009-2013,2011.0,2004-2008,1.004580748805726,0.8007305344578595,1.2603272105195131
United States of America,Male,Prevalence,2014-2018,2016.0,2004-2008,1.0029528891466295,0.799752337249172,1.2577825046532711
United States of America,Male,Prevalence,2019-2023,2021.0,2004-2008,1.009497066214078,0.8045892599450182,1.2665895226646078
