location_name,sex_name,measure_name,year,val,lower,upper,fitted,residual_log,model_knots
United States of America,Female,DALYs,1998,267.930728238397,189.3278778048224,330.646632413053,268.72562671084415,-0.0029624136430879133,"2010,2015"
United States of America,Female,DALYs,1999,267.8256605443129,188.5105524863976,330.9860354246531,268.7572335190911,-0.003472246025891579,"2010,2015"
United States of America,Female,DALYs,2000,267.6177112544077,188.1451471519948,328.29472572912783,268.78884404484825,-0.004366593359891091,"2010,2015"
United States of America,Female,DALYs,2001,267.851362026526,189.54833462433595,328.9985626769906,268.82045828855314,-0.0036115081085652534,"2010,2015"
United States of America,Female,DALYs,2002,268.7681169434914,190.40755818216863,333.3985216255813,268.852076250643,-0.0003123368835362683,"2010,2015"
United States of America,Female,DALYs,2003,269.17243432737547,190.2969432168348,332.6971325969932,268.8836979315552,0.0010732576258316584,"2010,2015"
United States of America,Female,DALYs,2004,269.9618007073998,189.36061281486465,335.2103412389793,268.91532333172717,0.0038839232340217578,"2010,2015"
United States of America,Female,DALYs,2005,270.133037153141,189.7296725465536,333.1131929492984,268.9469524515966,0.004400410470886129,"2010,2015"
United States of America,Female,DALYs,2006,270.18490526737594,189.38568407245157,333.8273204163657,268.97858529160044,0.0044747910784739275,"2010,2015"
United States of America,Female,DALYs,2007,269.819451050855,189.95414826345765,333.81004124561576,269.0102218521765,0.003003657176937402,"2010,2015"
United States of America,Female,DALYs,2008,269.3433272039496,189.85247924779776,333.90117388526363,269.04186213376244,0.0011198863106347545,"2010,2015"
United States of America,Female,DALYs,2009,268.7398182139412,189.4988680056399,331.0712159919599,269.0735061367959,-0.0012409062794294101,"2010,2015"
United States of America,Female,DALYs,2010,267.9552509790738,188.46531850002808,331.5334539856158,269.10515386171454,-0.004282217156430512,"2010,2015"
United States of America,Female,DALYs,2011,265.8650779449273,186.60097084574485,329.8943403952823,265.48945852426044,0.0014138186745560333,"2010,2015"
United States of America,Female,DALYs,2012,262.0837657118509,185.36720506216145,324.659619791323,261.92234364907426,0.0006161075796606852,"2010,2015"
United States of America,Female,DALYs,2013,257.88553139735615,183.9694986706122,318.06153462802826,258.4031565093373,-0.00200517771371711,"2010,2015"
United States of America,Female,DALYs,2014,254.14882289831175,179.40978832866026,314.40122782810784,254.93125314826548,-0.0030739009553064633,"2010,2015"
United States of America,Female,DALYs,2015,252.07844780375035,177.72119825222651,310.4029693815868,251.50599826127345,0.00227350067510379,"2010,2015"
United States of America,Female,DALYs,2016,251.2684743319306,178.70184192816194,308.91523632021665,250.97142510625469,0.0011828978965837678,"2010,2015"
United States of America,Female,DALYs,2017,250.61537667774573,177.39929708699714,309.3719578177374,250.43798818043166,0.0007080623229640537,"2010,2015"
United States of America,Female,DALYs,2018,250.0651045308392,177.8175429145236,307.9789318283399,249.9056850687614,0.0006377151257508373,"2010,2015"
United States of America,Female,DALYs,2019,249.5356896057436,177.9569969513529,307.2325257537821,249.37451336133557,0.0006461132646977674,"2010,2015"
United States of America,Female,DALYs,2020,248.31600808597693,176.77835521044122,305.91463447294,248.84447065336664,-0.0021259242800804046,"2010,2015"
United States of America,Female,DALYs,2021,247.7122543569937,176.05567880430416,307.2157551447892,248.31555454517922,-0.002432526865812079,"2010,2015"
United States of America,Female,DALYs,2022,247.74249552589455,178.52396490131622,305.8309854198492,247.78776264219826,-0.0001827017248023921,"2010,2015"
United States of America,Female,DALYs,2023,247.86164747926725,176.80561033016937,305.02831248853687,247.26109255493824,0.0024258842112780954,"2010,2015"
China,Female,Incidence,1990,18.34535763107,15.44722119973,21.77862017745,18.367472637469973,-0.0012047564251020937,"2004,2015"
China,Female,Incidence,1991,18.36688061924,15.459467216360002,21.75428378242,18.37785905416056,-0.0005975513961895551,"2004,2015"
China,Female,Incidence,1992,18.3862735577,15.47011129257,21.73210630593,18.38825134414977,-0.00010756285537105725,"2004,2015"
China,Female,Incidence,1993,18.40537946575,15.48108979665,21.72061761991,18.398649510758815,0.0003657183875431791,"2004,2015"
China,Female,Incidence,1994,18.42266294983,15.51525370973,21.71113835271,18.40905355731082,0.0007390040122570163,"2004,2015"
China,Female,Incidence,1995,18.43528949441,15.55155666138,21.69843383782,18.41946348713075,0.0008588313295674332,"2004,2015"
China,Female,Incidence,1996,18.44231479079,15.52673131159,21.72331767222,18.42987930354548,0.0006745184560585926,"2004,2015"
China,Female,Incidence,1997,18.44696969099,15.49238114075,21.76161665759,18.440301009883743,0.0003615708645394733,"2004,2015"
China,Female,Incidence,1998,18.45313831433,15.50381144569,21.822201862510003,18.450728609476183,0.00013059362381806494,"2004,2015"
China,Female,Incidence,1999,18.461255215,15.5165218041,21.89075258873,18.46116210565529,5.043512937064065e-06,"2004,2015"
China,Female,Incidence,2000,18.47044852898,15.52585132682,21.93038065058,18.47160150175548,-6.242061687933287e-05,"2004,2015"
China,Female,Incidence,2001,18.47890190853,15.55276448996,21.94351295852,18.48204680111301,-0.00017017380237227542,"2004,2015"
China,Female,Incidence,2002,18.48610691361,15.576939950500002,21.92300717259,18.49249800706607,-0.0003456643934196535,"2004,2015"
China,Female,Incidence,2003,18.49368187295,15.60080057123,21.90209912799,18.502955122954695,-0.0005013023318807264,"2004,2015"
China,Female,Incidence,2004,18.49930475621,15.622257008840002,21.88362611596,18.51341815212085,-0.000762624064694073,"2004,2015"
China,Female,Incidence,2005,18.49982487861,15.64305961799,21.84126210677,18.50282573751863,-0.0001621969705003501,"2004,2015"
China,Female,Incidence,2006,18.49421071701,15.61533219225,21.84824075205,18.492239383344923,0.00010659761407705304,"2004,2015"
China,Female,Incidence,2007,18.48525555374,15.58669857773,21.85605413533,18.481659086132247,0.00019457764620822715,"2004,2015"
China,Female,Incidence,2008,18.47560389184,15.55873486202,21.86670860151,18.47108484241515,0.0002446254104064849,"2004,2015"
China,Female,Incidence,2009,18.46679729891,15.53164926105,21.8727153907,18.460516648730117,0.0003401628534018819,"2004,2015"
